sim_ind	M1	M2	M3	a_o	r_p_o	e_o	inc_o	Omega_o	omega_o	e_i	inc_i	Omega_i	omega_i	f_i	final_time	outer_orbits	outer_orbits_RW	disrupted
1	1	0.5	1	32.7243	3.2724	0.9	0	0	0	0.5	0.7232	4.4913	0.5698	3.9569	130051.1	2	1.6	1
2	1	0.5	1	42.0002	4.2	0.9	0	0	0	0.5	2.2119	0.9091	4.1373	3.6104	227149734.1	1876	1598.4	0
3	1	0.5	1	41.955	4.1955	0.9	0	0	0	0.5	1.8189	3.3331	3.8873	4.3742	25922923.2	304	444.5	1
4	1	0.5	1	20.9127	2.0913	0.9	0	0	0	0.5	1.284	3.3499	4.1129	2.7133	27007.1	1	0.2	1
5	1	0.5	1	23.5868	2.3587	0.9	0	0	0	0.5	1.9482	2.7061	1.7514	5.614	159559.3	8	2.1	1
6	1	0.5	1	22.3339	2.2334	0.9	0	0	0	0.5	1.499	2.613	1.7304	0.4062	76024.2	3	0.4	1
7	1	0.5	1	36.9624	3.6962	0.9	0	0	0	0.5	2.2695	5.5124	6.1215	1.4786	798025646.5	975	226.3	1
8	1	0.5	1	30.4405	3.0441	0.9	0	0	0	0.5	0.6609	5.1159	3.3952	3.6282	6964602	38	0.7	1
9	1	0.5	1	26.1796	2.618	0.9	0	0	0	0.5	2.8157	1.2571	0.8013	3.099	434434.3	44	163.5	1
10	1	0.5	1	23.8332	2.3833	0.9	0	0	0	0.5	1.3825	0.0621	4.4238	4.1242	128841.2	7	0.4	1
11	1	0.5	1	44.6482	4.4648	0.9	0	0	0	0.5	2.4596	4.662	1.9257	5.3983	303780652.8	5923	16609.9	0
12	1	0.5	1	33.9202	3.392	0.9	0	0	0	0.5	2.8538	4.8042	1.253	0.3394	2571172.7	75	1524.7	1
13	1	0.5	1	34.3078	3.4308	0.9	0	0	0	0.5	1.2739	2.2964	4.6188	4.9322	12300709.1	27	4.7	1
14	1	0.5	1	37.3742	3.7374	0.9	0	0	0	0.5	2.2715	0.6481	0.5419	4.5354	5890039.8	200	301.3	1
15	1	0.5	1	35.6108	3.5611	0.9	0	0	0	0.5	1.7458	5.7863	0.3593	3.1374	4539837.1	82	27.1	1
16	1	0.5	1	37.6304	3.763	0.9	0	0	0	0.5	0.8453	5.6575	4.9997	2.8716	7568003.9	68	12.3	1
17	1	0.5	1	40.7883	4.0788	0.9	0	0	0	0.5	2.0099	4.595	0.7323	3.7046	211940080.4	176	580.7	1
