sim_ind	M1	M2	M3	a_o	r_p_o	e_o	inc_o	Omega_o	omega_o	e_i	inc_i	Omega_i	omega_i	f_i	final_time	outer_orbits	outer_orbits_RW	disrupted
1432	1	0.8	0.5	20.9489	2.0949	0.9	0	0	0	0.5	1.237	4.9366	0.0332	3.3282	178016.9	2	0.1	1
1433	1	0.8	0.5	27.6865	2.7686	0.9	0	0	0	0.5	1.0015	5.64	0.967	3.237	988525.8	18	1	1
1434	1	0.8	0.5	29.3943	2.9394	0.9	0	0	0	0.5	2.5217	1.5632	1.5515	2.1976	123757971.8	15017	365.1	0
1435	1	0.8	0.5	27.2873	2.7287	0.9	0	0	0	0.5	1.5577	4.1295	4.9213	1.3072	515100.4	9	1.3	1
1436	1	0.8	0.5	21.4951	2.1495	0.9	0	0	0	0.5	3.0148	2.0312	2.9428	2.4708	701700.3	49	64.3	1
1437	1	0.8	0.5	44.0018	4.4002	0.9	0	0	0	0.5	1.9622	4.6918	4.4883	3.4791	66980089.8	763	2257.1	0
1438	1	0.8	0.5	43.3894	4.3389	0.9	0	0	0	0.5	2.2834	5.9591	5.7342	2.8063	76532373.9	1133	6346.8	0
1439	1	0.8	0.5	39.6283	3.9628	0.9	0	0	0	0.5	1.5249	1.4655	1.4467	2.9535	64013632.1	1433	92.4	1
1440	1	0.8	0.5	37.2549	3.7255	0.9	0	0	0	0.5	1.1479	2.5804	3.9756	3.3881	65666743.3	167	30.9	1
1441	1	0.8	0.5	36.3764	3.6376	0.9	0	0	0	0.5	0.7928	2.8173	1.5072	3.5393	20505188	265	18.1	1
1442	1	0.8	0.5	33.6397	3.364	0.9	0	0	0	0.5	1.3859	3.9911	4.2253	3.0962	3160360.7	17	7.5	1
1443	1	0.8	0.5	28.3465	2.8347	0.9	0	0	0	0.5	0.9914	2.9352	1.4079	3.1542	817580.7	6	0.9	1
1444	1	0.8	0.5	33.7226	3.3723	0.9	0	0	0	0.5	2.1573	3.1896	2.0955	3.5617	17557855.1	369	85.2	1
1445	1	0.8	0.5	38.2162	3.8216	0.9	0	0	0	0.5	1.0062	1.2124	1.7678	3.1137	41855835.8	218	27	1
1446	1	0.8	0.5	41.9353	4.1935	0.9	0	0	0	0.5	1.4226	4.561	3.0406	2.4391	123061126.4	8802	179.7	0
1447	1	0.8	0.5	44.3788	4.4379	0.9	0	0	0	0.5	1.5305	5.921	0.0009	2.5409	76479101.9	981	704.2	0
1448	1	0.8	0.5	23.0076	2.3008	0.9	0	0	0	0.5	2.4016	2.4335	2.3181	4.0048	3804628.4	23	11.3	1
1449	1	0.8	0.5	26.2568	2.6257	0.9	0	0	0	0.5	1.9094	1.3004	3.1439	3.0403	1328548.9	37	2.5	1
1450	1	0.8	0.5	20.785	2.0785	0.9	0	0	0	0.5	1.4996	1.0688	2.6588	3.6727	553615.5	10	0.3	1
1451	1	0.8	0.5	29.7595	2.9759	0.9	0	0	0	0.5	2.4663	2.0682	6.2439	2.5566	19179472.7	753	65.3	1
1452	1	0.8	0.5	20.2444	2.0244	0.9	0	0	0	0.5	1.4889	1.3457	2.6144	4.3419	104618.1	8	0.2	1
1453	1	0.8	0.5	21.3283	2.1328	0.9	0	0	0	0.5	0.6983	6.0751	2.1888	4.4319	110509.5	17	0.1	1
1454	1	0.8	0.5	23.9209	2.3921	0.9	0	0	0	0.5	2.7865	5.512	0.8973	3.6232	2415617.1	187	87	1
1455	1	0.8	0.5	41.8132	4.1813	0.9	0	0	0	0.5	1.5095	5.7715	4.3692	3.4536	268580328.9	455	232.4	1
1456	1	0.8	0.5	21.6075	2.1607	0.9	0	0	0	0.5	0.6344	4.5317	4.8718	1.0881	74750.9	7	0.2	1
1457	1	0.8	0.5	24.5859	2.4586	0.9	0	0	0	0.5	1.7684	6.1503	2.3543	3.207	632046.8	20	1.7	1
1458	1	0.8	0.5	42.6564	4.2656	0.9	0	0	0	0.5	2.9714	3.7644	4.3105	3.678	89501602.6	1260	83445.9	0
