sim_ind	M1	M2	M3	a_o	r_p_o	e_o	inc_o	Omega_o	omega_o	e_i	inc_i	Omega_i	omega_i	f_i	final_time	outer_orbits	outer_orbits_RW	disrupted
1	1	1	1	32.7243	3.2724	0.9	0	0	0	0.5	0.7232	4.4913	0.5698	3.9569	2000877.6	95	1.5	1
2	1	1	1	42.0002	4.2	0.9	0	0	0	0.5	2.2119	0.9091	4.1373	3.6104	83652809.6	1114	5243.3	0
3	1	1	1	41.955	4.1955	0.9	0	0	0	0.5	1.8189	3.3331	3.8873	4.3742	693939148.6	1306	626.8	1
4	1	1	1	20.9127	2.0913	0.9	0	0	0	0.5	1.284	3.3499	4.1129	2.7133	24296.4	1	0.3	1
5	1	1	1	23.5868	2.3587	0.9	0	0	0	0.5	1.9482	2.7061	1.7514	5.614	706272	16	5.9	1
6	1	1	1	22.3339	2.2334	0.9	0	0	0	0.5	1.499	2.613	1.7304	0.4062	686113.3	4	0.6	1
7	1	1	1	36.9624	3.6962	0.9	0	0	0	0.5	2.2695	5.5124	6.1215	1.4786	34962544.6	168	215.5	1
8	1	1	1	30.4405	3.0441	0.9	0	0	0	0.5	0.6609	5.1159	3.3952	3.6282	110001.4	2	0.6	1
9	1	1	1	26.1796	2.618	0.9	0	0	0	0.5	2.8157	1.2571	0.8013	3.099	1046666.7	88	128.9	1
10	1	1	1	23.8332	2.3833	0.9	0	0	0	0.5	1.3825	0.0621	4.4238	4.1242	32256.4	1	0.6	1
11	1	1	1	44.6482	4.4648	0.9	0	0	0	0.5	2.4596	4.662	1.9257	5.3983	310363150.9	5981	43503.2	0
12	1	1	1	33.9202	3.392	0.9	0	0	0	0.5	2.8538	4.8042	1.253	0.3394	148018194.3	1840	1419.3	0
13	1	1	1	34.3078	3.4308	0.9	0	0	0	0.5	1.2739	2.2964	4.6188	4.9322	9636953.6	414	8.3	1
14	1	1	1	37.3742	3.7374	0.9	0	0	0	0.5	2.2715	0.6481	0.5419	4.5354	2489116352.5	579	357.4	1
15	1	1	1	35.6108	3.5611	0.9	0	0	0	0.5	1.7458	5.7863	0.3593	3.1374	25438611.5	523	19.7	1
16	1	1	1	37.6304	3.763	0.9	0	0	0	0.5	0.8453	5.6575	4.9997	2.8716	5158178.5	31	19.2	1
17	1	1	1	40.7883	4.0788	0.9	0	0	0	0.5	2.0099	4.595	0.7323	3.7046	86248001.2	2550	884.1	0
