sim_ind	M1	M2	M3	a_o	r_p_o	e_o	inc_o	Omega_o	omega_o	e_i	inc_i	Omega_i	omega_i	f_i	final_time	outer_orbits	outer_orbits_RW	disrupted
1	1	1	1	3.636	3.2724	0.1	0	0	0	0.5	0.7232	4.4913	0.5698	3.9569	85729871.6	237	125.6	1
2	1	1	1	4.6667	4.2	0.1	0	0	0	0.5	2.2119	0.9091	4.1373	3.6104	96464108.2	39267	135811.8	0
3	1	1	1	4.6617	4.1955	0.1	0	0	0	0.5	1.8189	3.3331	3.8873	4.3742	143712050.1	58970	39123.8	0
4	1	1	1	2.3236	2.0913	0.1	0	0	0	0.5	1.284	3.3499	4.1129	2.7133	64900.8	17	15.3	1
5	1	1	1	2.6208	2.3587	0.1	0	0	0	0.5	1.9482	2.7061	1.7514	5.614	760442.3	280	118.3	1
6	1	1	1	2.4815	2.2334	0.1	0	0	0	0.5	1.499	2.613	1.7304	0.4062	45452.6	6	24.8	1
7	1	1	1	4.1069	3.6962	0.1	0	0	0	0.5	2.2695	5.5124	6.1215	1.4786	185929193	86687	17279.5	0
8	1	1	1	3.3823	3.0441	0.1	0	0	0	0.5	0.6609	5.1159	3.3952	3.6282	295495.9	61	52.3	1
9	1	1	1	2.9088	2.618	0.1	0	0	0	0.5	2.8157	1.2571	0.8013	3.099	12674568.8	9667	11255.7	1
10	1	1	1	2.6481	2.3833	0.1	0	0	0	0.5	1.3825	0.0621	4.4238	4.1242	199172.6	37	26.6	1
11	1	1	1	4.9609	4.4648	0.1	0	0	0	0.5	2.4596	4.662	1.9257	5.3983	262327517	96906	2014452.7	0
12	1	1	1	3.7689	3.392	0.1	0	0	0	0.5	2.8538	4.8042	1.253	0.3394	281976209	121209	126384.5	0
13	1	1	1	3.812	3.4308	0.1	0	0	0	0.5	1.2739	2.2964	4.6188	4.9322	44652601.6	6999	370.4	1
14	1	1	1	4.1527	3.7374	0.1	0	0	0	0.5	2.2715	0.6481	0.5419	4.5354	161350847.4	77784	23698.4	0
15	1	1	1	3.9568	3.5611	0.1	0	0	0	0.5	1.7458	5.7863	0.3593	3.1374	17216050.5	8822	2124.6	1
