sim_ind	M1	M2	M3	a_o	r_p_o	e_o	inc_o	Omega_o	omega_o	e_i	inc_i	Omega_i	omega_i	f_i	final_time	outer_orbits	outer_orbits_RW	disrupted
1	1	1	1	10.9081	3.2724	0.7	0	0	0	0.5	0.7232	4.4913	0.5698	3.9569	835461.9	60	13.9	1
2	1	1	1	14.0001	4.2	0.7	0	0	0	0.5	2.2119	0.9091	4.1373	3.6104	82507754.3	6225	16006.2	0
3	1	1	1	13.985	4.1955	0.7	0	0	0	0.5	1.8189	3.3331	3.8873	4.3742	138363839.6	7954	4539.6	0
4	1	1	1	6.9709	2.0913	0.7	0	0	0	0.5	1.284	3.3499	4.1129	2.7133	198286.2	17	1.7	1
5	1	1	1	7.8623	2.3587	0.7	0	0	0	0.5	1.9482	2.7061	1.7514	5.614	367535.5	86	14	1
6	1	1	1	7.4446	2.2334	0.7	0	0	0	0.5	1.499	2.613	1.7304	0.4062	128819.1	7	2.9	1
7	1	1	1	12.3208	3.6962	0.7	0	0	0	0.5	2.2695	5.5124	6.1215	1.4786	70399691.1	2803	2024	1
8	1	1	1	10.1468	3.0441	0.7	0	0	0	0.5	0.6609	5.1159	3.3952	3.6282	281848.2	12	5.8	1
9	1	1	1	8.7265	2.618	0.7	0	0	0	0.5	2.8157	1.2571	0.8013	3.099	448494.9	66	1249.8	1
10	1	1	1	7.9444	2.3833	0.7	0	0	0	0.5	1.3825	0.0621	4.4238	4.1242	41100.6	7	3	1
11	1	1	1	14.8827	4.4648	0.7	0	0	0	0.5	2.4596	4.662	1.9257	5.3983	289272250.3	19712	202193.4	0
12	1	1	1	11.3067	3.392	0.7	0	0	0	0.5	2.8538	4.8042	1.253	0.3394	274160819	32494	13876.3	1
13	1	1	1	11.4359	3.4308	0.7	0	0	0	0.5	1.2739	2.2964	4.6188	4.9322	2790493.2	66	41.4	1
14	1	1	1	12.4581	3.7374	0.7	0	0	0	0.5	2.2715	0.6481	0.5419	4.5354	156101969.6	14249	2758.6	0
15	1	1	1	11.8703	3.5611	0.7	0	0	0	0.5	1.7458	5.7863	0.3593	3.1374	23559772.4	3828	242.1	1
16	1	1	1	12.5435	3.763	0.7	0	0	0	0.5	0.8453	5.6575	4.9997	2.8716	17327161.5	306	127.5	1
17	1	1	1	13.5961	4.0788	0.7	0	0	0	0.5	2.0099	4.595	0.7323	3.7046	85985179.5	4750	6009.2	0
18	1	1	1	10.9037	3.2711	0.7	0	0	0	0.5	0.7653	0.3602	0.9204	0.2179	3983996.1	264	20.5	1
19	1	1	1	9.6841	2.9052	0.7	0	0	0	0.5	2.3191	5.368	3.083	1.0327	1905595.8	152	203.7	1
20	1	1	1	7.6339	2.2902	0.7	0	0	0	0.5	2.4444	1.4896	5.0868	2.1299	190192.1	26	340.7	1
21	1	1	1	14.0273	4.2082	0.7	0	0	0	0.5	1.0622	4.9885	3.8789	2.4319	89062171.8	4581	718.3	1
22	1	1	1	9.7922	2.9377	0.7	0	0	0	0.5	1.1395	5.6375	3.577	3.0311	2568368.9	41	7.6	1
23	1	1	1	8.7064	2.6119	0.7	0	0	0	0.5	1.4572	2.9304	4.1986	2.0022	98670.8	19	6.6	1
24	1	1	1	12.3928	3.7179	0.7	0	0	0	0.5	1.5074	1.7096	0.3886	3.4397	4807991.4	227	204.2	1
25	1	1	1	14.5382	4.3614	0.7	0	0	0	0.5	2.2412	1.0246	2.5334	3.3231	72945737.2	5016	27840.4	0
