sim_ind	M1	M2	M3	a_o	r_p_o	e_o	inc_o	Omega_o	omega_o	e_i	inc_i	Omega_i	omega_i	f_i	final_time	outer_orbits	outer_orbits_RW	disrupted
1	1	1	1	4.6749	3.2724	0.3	0	0	0	0.5	0.7232	4.4913	0.5698	3.9569	1272065.9	111	75.6	1
2	1	1	1	6	4.2	0.3	0	0	0	0.5	2.2119	0.9091	4.1373	3.6104	88193451.5	24540	84210.4	0
3	1	1	1	5.9936	4.1955	0.3	0	0	0	0.5	1.8189	3.3331	3.8873	4.3742	137197443	36395	24114.4	0
4	1	1	1	2.9875	2.0913	0.3	0	0	0	0.5	1.284	3.3499	4.1129	2.7133	472524.3	53	9.2	1
5	1	1	1	3.3695	2.3587	0.3	0	0	0	0.5	1.9482	2.7061	1.7514	5.614	157188.5	20	73.5	1
6	1	1	1	3.1906	2.2334	0.3	0	0	0	0.5	1.499	2.613	1.7304	0.4062	451137.2	59	15.3	1
7	1	1	1	5.2803	3.6962	0.3	0	0	0	0.5	2.2695	5.5124	6.1215	1.4786	103288714.4	21839	10652	1
8	1	1	1	4.3486	3.0441	0.3	0	0	0	0.5	0.6609	5.1159	3.3952	3.6282	454067.8	63	31.5	1
9	1	1	1	3.7399	2.618	0.3	0	0	0	0.5	2.8157	1.2571	0.8013	3.099	278883.7	143	6796	1
10	1	1	1	3.4047	2.3833	0.3	0	0	0	0.5	1.3825	0.0621	4.4238	4.1242	1271290.1	43	16.2	1
11	1	1	1	6.3783	4.4648	0.3	0	0	0	0.5	2.4596	4.662	1.9257	5.3983	264270524.1	55396	1144630.3	0
12	1	1	1	4.8457	3.392	0.3	0	0	0	0.5	2.8538	4.8042	1.253	0.3394	285538139.9	57189	76188.3	0
13	1	1	1	4.9011	3.4308	0.3	0	0	0	0.5	1.2739	2.2964	4.6188	4.9322	46226860.8	5245	224.2	1
14	1	1	1	5.3392	3.7374	0.3	0	0	0	0.5	2.2715	0.6481	0.5419	4.5354	76334465	19195	14679	1
15	1	1	1	5.0873	3.5611	0.3	0	0	0	0.5	1.7458	5.7863	0.3593	3.1374	76208264.6	8021	1297.9	1
16	1	1	1	5.3758	3.763	0.3	0	0	0	0.5	0.8453	5.6575	4.9997	2.8716	87919781.1	21112	713.3	0
17	1	1	1	5.8269	4.0788	0.3	0	0	0	0.5	2.0099	4.595	0.7323	3.7046	92626940.5	26771	32211.5	0
18	1	1	1	4.673	3.2711	0.3	0	0	0	0.5	0.7653	0.3602	0.9204	0.2179	2314182	209	111.7	1
19	1	1	1	4.1503	2.9052	0.3	0	0	0	0.5	2.3191	5.368	3.083	1.0327	5260810.7	1245	1072.5	1
20	1	1	1	3.2717	2.2902	0.3	0	0	0	0.5	2.4444	1.4896	5.0868	2.1299	720225.4	286	1251.9	1
21	1	1	1	6.0117	4.2082	0.3	0	0	0	0.5	1.0622	4.9885	3.8789	2.4319	58327502.9	8559	3848.8	1
22	1	1	1	4.1967	2.9377	0.3	0	0	0	0.5	1.1395	5.6375	3.577	3.0311	197708.1	55	41	1
23	1	1	1	3.7313	2.6119	0.3	0	0	0	0.5	1.4572	2.9304	4.1986	2.0022	550443.5	79	34.9	1
24	1	1	1	5.3112	3.7179	0.3	0	0	0	0.5	1.5074	1.7096	0.3886	3.4397	32288091.8	2155	1083.1	1
25	1	1	1	6.2306	4.3614	0.3	0	0	0	0.5	2.2412	1.0246	2.5334	3.3231	79705601.2	20851	147675.3	0
26	1	1	1	5.7146	4.0002	0.3	0	0	0	0.5	1.2224	4.4819	2.092	1.3688	163053839.6	32057	1786.3	1
27	1	1	1	3.5043	2.453	0.3	0	0	0	0.5	1.5942	4.7561	3.5823	2.9628	140410.8	61	36.4	1
28	1	1	1	4.6305	3.2413	0.3	0	0	0	0.5	0.6721	0.1539	4.2393	2.8476	782509.1	42	104	1
29	1	1	1	3.3047	2.3133	0.3	0	0	0	0.5	2.4572	4.8638	3.0792	5.5268	638394.7	58	493.4	1
30	1	1	1	4.4979	3.1485	0.3	0	0	0	0.5	2.5668	0.2928	0.3565	3.0424	7110001.9	3224	7826.9	1
31	1	1	1	3.4996	2.4497	0.3	0	0	0	0.5	1.8373	3.176	5.2777	2.1705	37050.6	14	73.5	1
32	1	1	1	4.9372	3.4561	0.3	0	0	0	0.5	0.7415	4.2312	4.6137	1.3656	8481700.1	144	381.5	1
33	1	1	1	4.4546	3.1182	0.3	0	0	0	0.5	1.445	0.7608	5.1635	3.3641	42503919.9	2785	130.9	1
34	1	1	1	3.4856	2.4399	0.3	0	0	0	0.5	1.8555	0.461	3.9166	2.1802	70895	12	97.9	1
35	1	1	1	6.0895	4.2627	0.3	0	0	0	0.5	2.6924	0.5539	2.5178	0.0981	305450989.8	53641	795407.5	0
36	1	1	1	4.692	3.2844	0.3	0	0	0	0.5	1.72	4.449	3.1004	2.7823	7709578.6	2929	452.2	1
37	1	1	1	5.6685	3.968	0.3	0	0	0	0.5	2.7241	3.3473	4.0503	2.3097	109743314.5	33210	324498.6	0
38	1	1	1	3.3443	2.341	0.3	0	0	0	0.5	1.196	0.1032	0.1349	4.0764	35106.9	6	9.2	1
39	1	1	1	3.4974	2.4482	0.3	0	0	0	0.5	2.2736	5.9045	0.7217	4.1886	15424.5	5	397.1	1
40	1	1	1	2.9024	2.0317	0.3	0	0	0	0.5	1.1483	4.1293	2.6929	3.958	140928.4	13	5.7	1
41	1	1	1	2.9547	2.0683	0.3	0	0	0	0.5	1.2586	0.1267	5.811	3.4317	38466.3	7	7.5	1
42	1	1	1	5.531	3.8717	0.3	0	0	0	0.5	1.4825	5.0942	0.1218	2.1162	113340493.9	33420	1562.7	0
43	1	1	1	5.921	4.1447	0.3	0	0	0	0.5	0.6903	4.1559	1.2742	3.7565	97391188.3	27600	3148.7	0
44	1	1	1	3.7622	2.6336	0.3	0	0	0	0.5	1.2782	5.8234	3.6311	5.9228	54707.6	9	25.2	1
45	1	1	1	3.7103	2.5972	0.3	0	0	0	0.5	1.8485	3.7042	4.0361	2.3438	224862.5	64	117	1
46	1	1	1	4.9284	3.4499	0.3	0	0	0	0.5	1.6115	3.3968	6.2582	5.1132	1265244.4	189	539.9	1
47	1	1	1	5.448	3.8136	0.3	0	0	0	0.5	0.5998	5.6583	0.0968	4.5609	3669334.1	252	362.8	1
48	1	1	1	5.2085	3.6459	0.3	0	0	0	0.5	1.6765	3.903	5.0461	2.2882	98026093.8	26162	1381.9	0
49	1	1	1	5.8655	4.1058	0.3	0	0	0	0.5	1.0542	6.0453	2.787	4.3943	97044091.2	5130	1680.5	1
50	1	1	1	5.6224	3.9357	0.3	0	0	0	0.5	1.2085	5.4941	5.9546	0.2605	2819840.9	220	1119.6	1
51	1	1	1	5.9755	4.1829	0.3	0	0	0	0.5	2.2838	0.0995	0.8438	2.3862	104070759.6	29072	118741.5	0
52	1	1	1	5.8061	4.0643	0.3	0	0	0	0.5	1.913	5.4759	2.7953	2.8339	77953996.1	22763	12186.5	0
53	1	1	1	5.5828	3.908	0.3	0	0	0	0.5	2.4783	1.128	1.7756	4.1783	127206842.6	39265	207396.2	0
